wavelength_um transit_depth_model_unitless
5.439584958009947568e-01 2.071932694146451023e-02
5.642911115131238331e-01 2.100488269686915169e-02
5.870013853248688962e-01 2.161791039567896935e-02
6.125336538486810811e-01 2.090084299494891773e-02
6.414632903800252528e-01 2.048542932310149639e-02
6.744894291825173083e-01 2.019873707728287240e-02
7.125002536859746938e-01 2.030455024551834978e-02
7.565867704389196424e-01 2.080883717672294547e-02
8.080589516220738622e-01 2.026590966965816434e-02
8.683979561272089365e-01 1.981307588561953895e-02
9.390888561581521854e-01 2.018362952941829894e-02
1.021271966702864686e+00 1.966620677512929960e-02
1.115214937628433267e+00 2.036882839785290542e-02
1.219857922129905070e+00 2.025566994552817010e-02
1.332792235997658281e+00 2.065876862121898694e-02
1.450845292184156810e+00 2.187482052762435361e-02
1.570915581062646504e+00 2.079374107487778553e-02
1.690554234347835028e+00 2.027443747980673880e-02
1.808123132405085043e+00 2.126227185752543880e-02
1.922676892879574773e+00 2.169206823816874699e-02
2.033758224300399764e+00 2.141600587876849038e-02
2.141219707059230259e+00 2.076615672838580395e-02
2.236615816101174214e+00 2.067412249754899123e-02
2.320762858197661593e+00 2.062824940570031837e-02
2.402598987851862322e+00 2.157979416349653859e-02
2.482235071085236111e+00 2.206366483392383990e-02
2.559787358519741929e+00 2.242221115037883183e-02
2.635367836489433735e+00 2.253850211552179891e-02
2.709086890079174026e+00 2.245822166447170726e-02
2.781048130202715463e+00 2.285827913034101447e-02
2.851349759721366173e+00 2.304100465855954058e-02
2.920082815573841639e+00 2.269231195641046098e-02
2.987332517536573917e+00 2.229908419985443535e-02
3.053177443896525567e+00 2.212227648163500593e-02
3.117690925020495829e+00 2.177312631435389043e-02
3.180940774616039857e+00 2.179739203488091290e-02
3.242989937317803939e+00 2.160525674067762317e-02
3.303896834397137550e+00 2.135651457008835852e-02
3.363715371277618438e+00 2.152236521228583638e-02
3.422496112621693953e+00 2.132667676946259361e-02
3.480285633826453839e+00 2.141624132759237242e-02
3.537128066258332204e+00 2.133240056950499661e-02
3.593063403617509977e+00 2.127272570543712812e-02
3.648130107928447607e+00 2.119118652650959014e-02
3.702363465678729426e+00 2.109962331387122553e-02
3.755797137841150324e+00 2.091937905493265748e-02
3.808461836380983900e+00 2.098982023794861498e-02
3.860387224649882487e+00 2.071269345456870636e-02
3.911600080487440234e+00 2.061111222121130362e-02
3.962127205300935540e+00 2.070363760118509172e-02
4.011992704145277422e+00 2.086602288636530203e-02
4.061219658306713498e+00 2.086969202725564784e-02
4.109830016813260656e+00 2.103106766886480086e-02
4.157843163178149837e+00 2.114033599303448072e-02
4.205280109337573791e+00 2.152745891950839235e-02
4.252158072291102542e+00 2.190000984978731149e-02
4.298495508027899703e+00 2.229258891773498730e-02
4.344308416476979851e+00 2.229054399017523988e-02
4.389612736036864860e+00 2.228635126723219409e-02
4.434423467071558100e+00 2.253617575464214248e-02
4.478754942505024594e+00 2.239653381362364734e-02
4.522620850310969942e+00 2.219615216885554090e-02
4.566034007875804157e+00 2.225216084772807176e-02
4.609006842149123706e+00 2.194380038044596928e-02
4.651551483140882404e+00 2.175827449321014045e-02
4.693678774163734246e+00 2.192591807932610382e-02
4.735399926148511796e+00 2.216267335896970198e-02
4.776725261917027510e+00 2.212559281848171591e-02
4.817664614799937794e+00 2.257055492213077066e-02
4.858227506593395972e+00 2.176543223249503833e-02
4.898423151543096488e+00 2.161881137691529578e-02
4.938260286581308556e+00 2.219553501651416044e-02
4.977747382468072246e+00 2.188113341140343962e-02
